id dam sire mtHap
BSG16 VES10 RUM04 147
BSG18 VES10 IOLOO 147
BSG20 VES10 BRY11 147
BSQ17 MAJ13 WSD11 138
JUG83 BRF79 NRSWI 135
JUG85 BRF79 TOR76 135
JUG87 BRF79 OTA76 135
BSY02 MLN97 KKONG 147
BSY04 MLN97 GEC97 147
BSY06 MLN97 ZUC98 147
BTT09 RIB05 HAW99 144
JUN81 BET73 CORKS 147
JUN82 BET73 SOO72 147
BUC81 BUL73 YHO72 144
BUC82 BUL73 LTNIK 144
BUC83 BUL73 TER75 144
BUC84 BUL73 TER75 144
BUC86 BUL73 LTNIK 144
BUC87 BUL73 YTA77 144
BUC88 BUL73 YTA77 144
BUC89 BUL73 YTA77 144
KIC18 WIC14 TONKS 147
KIC20 WIC14 UHA14 147
KIL76 BUL71 ELSIV 144
SKI95 OAT90 FIL86 155
KIL82 BUL71 UPR72 144
MOJ17 GNB10 WSD11 147
BUM04 NET99 THS95 147
BUM06 NET99 CEDRI 147
BUM07 NET99 CEDRI 147
BUM08 NET99 CEDRI 147
BUM09 NET99 HAW99 147
TUS97 JUG91 JOW89 135
PPL11 FRT07 MOZ03 144
BUT00 BCL93 HER91 144
BUT01 BCL93 PEREG 144
FRT99 BUT96 ATH91 144
BUT03 BCL93 JUG90 144
BUT04 BCL93 CLT95 144
BUT05 BCL93 CLT95 144
BUT06 BCL93 CSK93 144
BUT96 BCL93 ANK87 144
CUC87 UMB80 SEP77 140
BUT99 BCL93 FLA93 144
KKA21 WAL11 UHA14 147
SLO01 GIN93 AST91 147
KLD00 BNX94 SCI87 153
BZK14 LUT10 RUM03 137
CAB17 ONY13 CBH11 143
KLD05 BNX94 DOC95 153
CAF89 MAX84 BRF76 130
KLD07 BNX94 AIDAN 153
CAF93 MAX84 JUG85 130
CAF96 MAX84 TIG89 130
SLR06 FLG98 CEDRI 144
KLN17 PRC12 HUGHE 138
KLN18 PRC12 HUGHE 138
KLP14 MTT10 BOM06 130
CAL87 CIN78 ROCKY 139
CAM11 MNM07 KAR02 138
CAM12 MNM07 SYC02 138
KLP21 MTT10 LAURE 130
CAM14 MNM07 MRY02 138
CAM15 MNM07 BOBBY 138
CAN80 WHI73 CLE72 132
CAP82 SNI77 NRSWI 140
CAP84 SNI77 LTNIK 140
DAI08 MRG03 STE05 139
KOH15 AYE10 TRT02 147
SNZ05 WHZ00 TNY94 143
SOA14 BRY10 NEC06 153
MRY06 MAR93 DPU94 153
KRB04 ALD01 ZUC96 132
KRB05 ALD01 SUR97 132
KRM05 TIK01 SYC96 133
KRM06 TIK01 HAL98 133
CBH18 CCK07 HUGHE 138
LAC02 BCL95 GOD95 144
CBL07 GRA02 TNY94 130
CBL09 GRA02 SYC00 130
CBS09 ZUC03 PERCY 140
CBS11 ZUC03 TNG97 140
CBS13 ZUC03 SPD01 140
LAM86 CMO78 ROCKY 142
CBS17 ZUC03 DUB09 140
LAM90 CMO78 RED81 142
LAP81 MOL75 CLE72 153
SOP16 WLK11 STERN 144
CCH10 PAN06 SYC00 144
CCH12 PAN06 FRT05 144
CCH14 PAN06 STERN 144
CCH15 PAN06 STERN 144
CCH16 PAN06 STERN 144
CCH17 PAN06 STERN 144
